coco_index,label,class_name,object_index,replacement_object,prior_label,image_path,mask_path,split,replacement_label
1012,1,suitcase,4,bear,28,/home/ubuntu/ztl/COinCO/task_data/images/training_val_images/1012.png,/home/ubuntu/ztl/COinCO/task_data/masks/bbox_masks_training_val/1012.png,train,21
1013,0,bird,0,boat,14,/home/ubuntu/ztl/COinCO/task_data/images/training_val_images/1013.png,/home/ubuntu/ztl/COinCO/task_data/masks/bbox_masks_training_val/1013.png,train,8
1015,0,elephant,0,suitcase,20,/home/ubuntu/ztl/COinCO/task_data/images/training_val_images/1015.png,/home/ubuntu/ztl/COinCO/task_data/masks/bbox_masks_training_val/1015.png,train,28
1016,0,bottle,4,cup,39,/home/ubuntu/ztl/COinCO/task_data/images/training_val_images/1016.png,/home/ubuntu/ztl/COinCO/task_data/masks/bbox_masks_training_val/1016.png,train,41
1020,1,car,3,handbag,2,/home/ubuntu/ztl/COinCO/task_data/images/training_val_images/1020.png,/home/ubuntu/ztl/COinCO/task_data/masks/bbox_masks_training_val/1020.png,train,26
1021,1,pizza,3,donut,53,/home/ubuntu/ztl/COinCO/task_data/images/training_val_images/1021.png,/home/ubuntu/ztl/COinCO/task_data/masks/bbox_masks_training_val/1021.png,train,54
1022,1,kite,2,carrot,33,/home/ubuntu/ztl/COinCO/task_data/images/training_val_images/1022.png,/home/ubuntu/ztl/COinCO/task_data/masks/bbox_masks_training_val/1022.png,train,51
1023,1,person,7,zebra,0,/home/ubuntu/ztl/COinCO/task_data/images/training_val_images/1023.png,/home/ubuntu/ztl/COinCO/task_data/masks/bbox_masks_training_val/1023.png,train,22
1024,1,toilet,0,tie,61,/home/ubuntu/ztl/COinCO/task_data/images/training_val_images/1024.png,/home/ubuntu/ztl/COinCO/task_data/masks/bbox_masks_training_val/1024.png,train,27
1025,1,person,5,clock,0,/home/ubuntu/ztl/COinCO/task_data/images/training_val_images/1025.png,/home/ubuntu/ztl/COinCO/task_data/masks/bbox_masks_training_val/1025.png,train,74
1027,1,dog,2,boat,16,/home/ubuntu/ztl/COinCO/task_data/images/training_val_images/1027.png,/home/ubuntu/ztl/COinCO/task_data/masks/bbox_masks_training_val/1027.png,train,8
1028,1,sink,0,surfboard,71,/home/ubuntu/ztl/COinCO/task_data/images/training_val_images/1028.png,/home/ubuntu/ztl/COinCO/task_data/masks/bbox_masks_training_val/1028.png,train,37
